Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Davao City (DVO)-Manila (MNL),2025-07-01,117604.45618181818,99140.20728166908,136068.7050819673,58919.875,44704.67146976819,73135.07853023181
Davao City (DVO)-Manila (MNL),2025-08-01,120240.35936363637,94127.968150013,146352.75057725975,58919.875,38816.541375652276,79023.20862434772
Davao City (DVO)-Manila (MNL),2025-09-01,122876.26254545455,90895.24532679853,154857.27976411057,58919.875,34298.42024570603,83541.32975429397
Davao City (DVO)-Manila (MNL),2025-10-01,125512.16572727273,88583.66792697451,162440.66352757096,58919.875,30489.467939536375,87350.28206046362
Davao City (DVO)-Manila (MNL),2025-11-01,128148.06890909091,86860.75321488178,169435.38460330004,58919.875,27133.71359240668,90706.03640759332
Davao City (DVO)-Manila (MNL),2025-12-01,130783.9720909091,85555.98380179828,176011.9603800199,58919.875,24099.87976112195,93739.87023887805
Davao City (DVO)-Manila (MNL),2026-01-01,133419.87527272728,84568.06453733485,182271.68600811972,58919.875,21309.98162283918,96529.76837716083
Davao City (DVO)-Manila (MNL),2026-02-01,136055.77845454545,83830.99602729871,188280.5608817922,58919.875,18713.207751304544,99126.54224869545
Davao City (DVO)-Manila (MNL),2026-03-01,138691.68163636362,83298.9349359163,194084.42833681093,58919.875,16274.26440930456,101565.48559069543
Davao City (DVO)-Manila (MNL),2026-04-01,141327.5848181818,82938.5030094517,199716.66662691187,58919.875,13967.454441601258,103872.29555839874
Davao City (DVO)-Manila (MNL),2026-05-01,143963.48799999995,82724.502362473,205202.4736375269,58919.875,11773.378571685578,106066.37142831442
Davao City (DVO)-Manila (MNL),2026-06-01,146599.39118181812,82637.35674450609,210561.42561913014,58919.875,9676.965491412062,108162.78450858794
Davao City (DVO)-Panglao (TAG),2025-07-01,3551.352,1822.4225984680745,5280.281401531925,1991.5,420.70297601068,3562.29702398932
Davao City (DVO)-Panglao (TAG),2025-08-01,3551.352,1106.2765919679528,5996.4274080320465,1991.5,-229.94245506099242,4212.942455060993
Davao City (DVO)-Panglao (TAG),2025-09-01,3551.352,556.7584338470529,6545.945566152946,1991.5,-729.2002539274908,4712.200253927491
Davao City (DVO)-Panglao (TAG),2025-10-01,3551.352,93.49319693614916,7009.21080306385,1991.5,-1150.09404797864,5133.09404797864
Davao City (DVO)-Panglao (TAG),2025-11-01,3551.352,-314.6516701234141,7417.355670123414,1991.5,-1520.9089244944876,5503.908924494488
Davao City (DVO)-Panglao (TAG),2025-12-01,3551.352,-683.6428350487095,7786.346835048709,1991.5,-1856.151198256181,5839.151198256181
Davao City (DVO)-Panglao (TAG),2026-01-01,3551.352,-1022.9652308412096,8125.669230841209,1991.5,-2164.4382856361008,6147.438285636101
Davao City (DVO)-Panglao (TAG),2026-02-01,3551.352,-1338.7988160640944,8441.502816064094,1991.5,-2451.384910121985,6434.384910121985
Davao City (DVO)-Panglao (TAG),2026-03-01,3551.352,-1635.436204595775,8738.140204595775,1991.5,-2720.8910719679598,6703.89107196796
Davao City (DVO)-Panglao (TAG),2026-04-01,3551.352,-1916.002822472692,9018.706822472692,1991.5,-2975.7963376204007,6958.796337620401
Davao City (DVO)-Panglao (TAG),2026-05-01,3551.352,-2182.8581138951076,9285.562113895106,1991.5,-3218.244350379464,7201.244350379464
Davao City (DVO)-Panglao (TAG),2026-06-01,3551.352,-2437.8351323058932,9540.539132305894,1991.5,-3449.9005078549817,7432.900507854982
Del Carmin (IAO)-Cebu (CEB),2025-07-01,12737.467850739578,11307.233529371442,14167.702172107714,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2025-08-01,12450.930928597256,10879.98563114536,14021.876226049151,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2025-09-01,12094.624141186927,10523.678843735031,13665.569438638822,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2025-10-01,12748.442960173808,11177.497662721913,14319.388257625704,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2025-11-01,12701.485446245359,11130.540148793463,14272.430743697254,14.332235294117648,-77.43695953598865,106.10143012422395
Del Carmin (IAO)-Cebu (CEB),2025-12-01,13001.927559892763,11430.982262440868,14572.872857344659,14.332235294117648,-77.43695953598865,106.10143012422395
