DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
3/26/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:11:00,10:35:00,10:31:00,12:10:00,Landed 11:42 AM,PR2688,Philippine Airlines
3/24/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:24:00,10:35:00,10:23:00,12:10:00,Landed 11:48 AM,PR2688,Philippine Airlines
3/23/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:09:00,10:35:00,10:48:00,12:10:00,Landed 11:57 AM,PR2688,Philippine Airlines
3/21/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:13:00,10:35:00,10:30:00,12:10:00,Landed 11:43 AM,PR2688,Philippine Airlines
3/19/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:13:00,10:35:00,10:27:00,12:10:00,Landed 11:41 AM,PR2688,Philippine Airlines
3/17/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:14:00,10:35:00,10:48:00,12:10:00,Landed 12:03 PM,PR2688,Philippine Airlines
3/14/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:12:00,10:35:00,10:40:00,12:10:00,Landed 11:53 AM,PR2688,Philippine Airlines
3/12/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:14:00,10:35:00,10:41:00,12:10:00,Landed 11:55 AM,PR2688,Philippine Airlines
3/10/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:09:00,10:35:00,12:05:00,12:10:00,Landed 1:14 PM,PR2688,Philippine Airlines
3/9/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:10:00,10:35:00,10:28:00,12:10:00,Landed 11:38 AM,PR2688,Philippine Airlines
3/7/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:12:00,10:35:00,11:21:00,12:10:00,Landed 12:33 PM,PR2688,Philippine Airlines
